code	name	currentratio	quickratio	cashratio	c_name	currentratio_mean	quickratio_mean	cashratio_mean
603855	华荣股份	1.207200050354004	0.9657999873161316	14.66469955444336	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
603606	东方电缆	1.2950999736785889	0.9182000160217285	30.1156005859375	电器行业	2.7791363802823152	2.2122418186881325	73.3054815118963
000517	荣安地产	2.4885001182556152	0.8984000086784363	37.57979965209961	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
600734	实达集团	1.2074999809265137	1.0499000549316406	23.825000762939453	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
600323	瀚蓝环境	0.6539999842643738	0.5885999798774719	39.035400390625	供水供气	1.393980004787445	1.2161680036783218	70.91188301086426
601168	西部矿业	0.9391000270843506	0.8051999807357788	37.42919921875	有色金属	2.0638089522496976	1.4554716408697528	70.95576739311218
000851	高鸿股份	1.365399956703186	1.169700026512146	23.60580062866211	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300090	盛运环保	1.9519000053405762	1.6936999559402466	90.20169830322266	机械行业	2.576087673382806	1.9909660143071208	65.21263996720901
600352	浙江龙盛	2.29229998588562	0.7889999747276306	29.3439998626709	化工行业	2.529101399274973	2.0832090725848724	84.44795861611
600555	海航创新	1.8071000576019287	0.741100013256073	44.2599983215332	酒店旅游	2.1070606193759223	1.8449272788835294	109.0671830032811
002388	新亚制程	1.2106000185012817	1.0126999616622925	32.50429916381836	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
603178	圣龙股份	1.4072999954223633	1.118899941444397	65.0884017944336	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002005	德豪润达	0.9146000146865845	0.7687000036239624	35.063201904296875	家电行业	1.8584212173115124	1.4878424297679553	58.590551578637324
002482	广田集团	1.7106000185012817	1.5908000469207764	20.617300033569336	建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015
002051	中工国际	1.520799994468689	1.2651000022888184	62.97779846191406	建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015
300392	腾信股份	1.413599967956543	1.413599967956543	10.916099548339844	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
