code	name	roe	gross_profit_rate	
600649	城投控股	3.34	35.9229	
603866	桃李面包	3.34	34.6635	
600475	华光股份	3.34	19.3989	
603520	司太立	3.34	38.3205	
002402	和而泰	3.34	23.1583	
300009	安科生物	3.34	76.7133	
603585	苏利股份	3.33	34.5704	
002126	银轮股份	3.33	26.4561	
002635	安洁科技	3.33	39.2002	
603183	建研院	3.32	48.2474	
000429	粤高速A	3.32	61.7627	
600300	维维股份	3.32	29.5715	
603007	花王股份	3.32	34.3324	
600380	健康元	3.32	64.4514	
603311	金海环境	3.31	34.4293	
000951	中国重汽	3.31	10.6579	
600233	圆通速递	3.29	11.704	
600926	杭州银行	3.29	47.1503	
300506	名家汇	3.29	55.9298	
603006	联明股份	3.28	21.8048	
002277	友阿股份	3.28	21.7715	
002281	光迅科技	3.28	18.2762	
300653	正海生物	3.28	93.6883	
000626	远大控股	3.27	1.2752	
600012	皖通高速	3.27	59.9974	
002183	怡亚通	3.27	6.4110000000000005	
600647	同达创业	3.27	65.8207	
601818	光大银行	3.26	48.3747	
603879	永悦科技	3.26	18.2715	
603067	振华股份	3.25	30.5091	
002244	滨江集团	3.25	37.6376	
002408	齐翔腾达	3.25	15.7224	
300443	金雷风电	3.24	43.4569	
002664	长鹰信质	3.24	23.4786	
002245	澳洋顺昌	3.24	22.1973	
601229	上海银行	3.23	50.4275	
300561	汇金科技	3.23	74.8757	
603178	圣龙股份	3.23	21.0943	
600196	复星医药	3.23	55.3378	
300607	拓斯达	3.23	39.0823	
300601	康泰生物	3.21	86.9504	
601988	中国银行	3.21	49.7421	
002879	长缆科技	3.21	54.3934	
300067	安诺其	3.21	20.0643	
002603	以岭药业	3.21	68.0891	
002769	普路通	3.21	5.6561	
300666	江丰电子	3.2	32.4872	
600325	华发股份	3.2	32.1115	
600081	东风科技	3.2	17.0518	
600497	驰宏锌锗	3.2	17.1507	
000525	红太阳	3.2	25.7552	
002553	南方轴承	3.19	42.6653	
600663	陆家嘴	3.19	59.6254	
603801	志邦股份	3.19	37.4924	
603200	上海洗霸	3.18	40.6356	
000985	大庆华科	3.18	13.7999	
300335	迪森股份	3.18	33.0365	
300563	神宇股份	3.18	28.1016	
300680	隆盛科技	3.17	32.2051	
600285	羚锐制药	3.17	71.4604	
600031	三一重工	3.16	32.5546	
600706	曲江文旅	3.16	38.6624	
002317	众生药业	3.15	65.5794	
002064	华峰氨纶	3.15	20.1953	
002038	双鹭药业	3.15	72.419	
002221	东华能源	3.15	8.6236	
300613	富瀚微	3.14	60.4575	
600886	国投电力	3.14	44.8489	
000613	大东海A	3.14	72.2893	
002840	华统股份	3.14	6.2332	
300686	智动力	3.14	23.5154	
000510	金路集团	3.14	18.4286	
300275	梅安森	3.14	36.965	
603958	哈森股份	3.13	52.5432	
300116	坚瑞沃能	3.13	30.4654	
601128	常熟银行	3.13	35.9982	
603319	湘油泵	3.13	30.7947	
002025	航天电器	3.13	38.4137	
300294	博雅生物	3.12	61.3485	
000028	国药一致	3.12	10.4129	
600329	中新药业	3.12	38.5369	
600444	国机通用	3.11	14.9811	
603728	鸣志电器	3.11	36.7527	
603578	三星新材	3.11	30.5988	
603556	海兴电力	3.11	47.6888	
000034	神州数码	3.11	5.5802	
000989	九芝堂	3.11	56.5086	
603978	深圳新星	3.1	21.3375	
603358	华达科技	3.1	26.4437	
600269	赣粤高速	3.1	45.3945	
000589	黔轮胎A	3.1	13.6998	
002050	三花智控	3.1	26.3265	
300207	欣旺达	3.1	11.9552	
603111	康尼机电	3.09	38.7941	
600352	浙江龙盛	3.09	37.8978	
002195	二三四五	3.09	90.0045	
601966	玲珑轮胎	3.09	22.9956	
600419	天润乳业	3.09	29.4428	
002734	利民股份	3.09	27.5653	
603993	洛阳钼业	3.08	37.9245	
002820	桂发祥	3.08	48.7649	
603058	永吉股份	3.08	42.6562	
600521	华海药业	3.08	51.0304	
600521	华海药业	3.08	51.0304	
600231	凌钢股份	3.08	10.1405	
000488	晨鸣纸业	3.07	31.9215	
600782	新钢股份	3.07	6.5559	
300476	胜宏科技	3.06	25.3566	
300403	地尔汉宇	3.05	43.4764	
002672	东江环保	3.05	37.0313	
601200	上海环境	3.05	45.5209	
601069	西部黄金	3.05	35.309	
601607	上海医药	3.05	12.3812	
002881	美格智能	3.05	28.0563	
000417	合肥百货	3.04	18.2261	
603168	莎普爱思	3.04	69.9823	
600843	上工申贝	3.04	29.0429	
600163	中闽能源	3.04	66.9908	
300647	超频三	3.03	36.6233	
002581	未名医药	3.03	69.7967	
002275	桂林三金	3.03	72.4155	
002324	普利特	3.02	19.7953	
603960	克来机电	3.02	37.3857	
600348	阳泉煤业	3.02	18.299	
600093	易见股份	3.01	7.0835	
601900	南方传媒	3.01	31.8714	
603393	新天然气	3.0	23.4231	
002020	京新药业	3.0	56.5008	
002711	欧浦智网	3.0	9.4084	
300037	新宙邦	3.0	38.7698	
002631	德尔未来	3.0	34.5637	
300671	富满电子	2.99	27.96	
603889	新澳股份	2.99	19.9548	
002561	徐家汇	2.99	28.4065	
300649	杭州园林	2.99	54.6079	
600035	楚天高速	2.99	52.4425	
600897	厦门空港	2.99	42.1422	
300429	强力新材	2.99	40.9203	
603916	苏博特	2.99	41.023	
000001	平安银行	2.99	29.6911	
601336	新华保险	2.98	6.2025	
300242	佳云科技	2.98	12.755	
002152	广电运通	2.98	42.9384	
603040	新坐标	2.98	65.2287	
600243	青海华鼎	2.98	18.3351	
603906	龙蟠科技	2.98	33.6198	
600229	城市传媒	2.97	38.702	
300567	精测电子	2.97	46.9798	
000725	京东方A	2.97	28.6316	
002626	金达威	2.97	39.395	
603339	四方冷链	2.97	32.3567	
300439	美康生物	2.97	54.8486	
603519	立霸股份	2.97	14.7937	
601328	交通银行	2.97	43.6877	
002437	誉衡药业	2.96	58.4319	
300178	腾邦国际	2.96	24.2285	
000876	新希望	2.96	8.2453	
603881	数据港	2.95	42.0665	
002650	加加食品	2.94	28.3293	
002479	富春环保	2.94	19.9235	
603416	信捷电气	2.93	43.9982	
002043	兔宝宝	2.93	16.7417	
002801	微光股份	2.93	29.4997	
002233	塔牌集团	2.93	26.8975	
601998	中信银行	2.93	39.2054	
002906	华阳集团	2.92	22.7113	
002372	伟星新材	2.92	43.6853	
002551	尚荣医疗	2.92	23.8527	
600618	氯碱化工	2.92	9.3214	
300502	新易盛	2.91	25.5522	
002550	千红制药	2.9	50.1944	
603555	贵人鸟	2.9	38.4256	
300481	濮阳惠成	2.9	30.3159	
603599	广信股份	2.89	29.6504	
601985	中国核电	2.89	42.0037	
300232	洲明科技	2.89	30.1208	
600015	华夏银行	2.89	36.991	
600987	航民股份	2.89	27.0812	
300016	北陆药业	2.88	64.4696	
