code	name	currentratio	quickratio	cashratio	
000726	鲁泰A	1.9591000080108643	0.7170000076293945	38.37369918823242	
300638	广和通	4.787799835205078	4.4145002365112305	283.32330322265625	
000004	国农科技	3.5146000385284424	3.217600107192993	271.36199951171875	
000637	茂化实华	3.445499897003174	2.671799898147583	75.92720031738281	
600302	标准股份	3.9512999057769775	2.6143999099731445	76.6948013305664	
002088	鲁阳节能	2.80430006980896	2.2964999675750732	57.485801696777344	
300427	红相股份	4.241600036621094	3.8808999061584473	247.55499267578125	
002152	广电运通	3.5239999294281006	2.6774001121520996	120.7802963256836	
000919	金陵药业	3.1115000247955322	2.5020999908447266	85.69889831542969	
002602	世纪华通	1.8499000072479248	1.4829000234603882	50.76499938964844	
002757	南兴装备	2.7648000717163086	1.7424999475479126	62.417999267578125	
600436	片仔癀	3.4384000301361084	2.2929000854492188	168.11920166015625	
603165	荣晟环保	2.5522000789642334	2.346400022506714	37.634300231933594	
300562	乐心医疗	3.483099937438965	2.8408000469207764	198.9185028076172	
601208	东材科技	2.623300075531006	1.9565999507904053	40.847599029541016	
000990	诚志股份	1.7122000455856323	1.5463000535964966	101.3093032836914	
600637	东方明珠	2.981300115585327	2.7572999000549316	146.96510314941406	
300164	通源石油	4.792200088500977	3.8222999572753906	65.91950225830078	
002533	金杯电工	3.45770001411438	2.641700029373169	123.60209655761719	
002282	博深工具	2.626699924468994	1.968999981880188	83.46749877929688	
300277	海联讯	4.2058000564575195	3.65939998626709	159.60560607910156	
002127	南极电商	3.0404000282287598	2.9267001152038574	151.0343017578125	
001965	招商公路	0.9642000198364258	0.8241999745368958	46.86579895019531	
600674	川投能源	0.36000001430511475	0.34540000557899475	16.448400497436523	
002186	全聚德	2.696500062942505	2.5452001094818115	142.90499877929688	
600613	神奇制药	3.056299924850464	2.6928000450134277	50.4453010559082	
002497	雅化集团	1.5317000150680542	1.142199993133545	30.758499145507812	
603159	上海亚虹	2.8447999954223633	1.8547999858856201	30.739900588989258	
300046	台基股份	2.3162999153137207	1.9749000072479248	136.67909240722656	
300113	顺网科技	2.205699920654297	2.1215999126434326	176.60569763183594	
300353	东土科技	2.411400079727173	2.107800006866455	76.45850372314453	
002793	东音股份	3.211199998855591	2.345099925994873	94.83789825439453	
600735	新华锦	3.7012999057769775	2.459399938583374	166.60569763183594	
300635	达安股份	4.557400226593018	4.557400226593018	198.12640380859375	
603988	中电电机	3.7748000621795654	3.109100103378296	93.24430084228516	
603022	新通联	2.998699903488159	1.9687999486923218	39.49150085449219	
002651	利君股份	3.442199945449829	3.095099925994873	184.05039978027344	
002734	利民股份	2.6802000999450684	2.4168999195098877	36.62229919433594	
600365	通葡股份	3.263700008392334	2.1405999660491943	65.6875	
002286	保龄宝	1.5951999425888062	1.1603000164031982	40.137699127197266	
002173	创新医疗	2.9214999675750732	1.9694000482559204	133.92689514160156	
300625	三雄极光	3.9107000827789307	3.296799898147583	251.27609252929688	
603060	国检集团	3.7211999893188477	3.6630001068115234	243.90980529785156	
300019	硅宝科技	3.3850998878479004	2.567199945449829	87.37779998779297	
300105	龙源技术	2.9275999069213867	2.383699893951416	99.39859771728516	
300141	和顺电气	3.865000009536743	3.374500036239624	122.70259857177734	
603868	飞科电器	3.6714000701904297	3.2718000411987305	150.60609436035156	
300448	浩云科技	2.7644999027252197	2.1598000526428223	55.87300109863281	
002587	奥拓电子	3.251499891281128	2.6898000240325928	137.6038055419922	
300251	光线传媒	4.075200080871582	3.431999921798706	239.0290069580078	
002853	皮阿诺	3.683799982070923	3.4323999881744385	287.51470947265625	
603198	迎驾贡酒	3.4537999629974365	1.743899941444397	79.86360168457031	
300428	四通新材	2.853300094604492	2.254499912261963	55.74610137939453	
600219	南山铝业	1.7077000141143799	1.143399953842163	68.95580291748047	
603313	梦百合	3.9042999744415283	3.3564999103546143	240.9123992919922	
300395	菲利华	3.102299928665161	2.763700008392334	135.48170471191406	
000557	西部创业	0.8776000142097473	0.7961000204086304	32.207298278808594	
300359	全通教育	1.9347000122070312	1.904099941253662	75.36080169677734	
002446	盛路通信	2.937000036239624	2.4763998985290527	44.87889862060547	
600099	林海股份	3.1730000972747803	2.5678000450134277	122.18450164794922	
002171	楚江新材	3.3601999282836914	2.471299886703491	28.596500396728516	
601888	中国国旅	3.64520001411438	3.1912999153137207	200.0155029296875	
002782	可立克	3.226099967956543	2.697200059890747	134.87420654296875	
603116	红蜻蜓	3.282099962234497	2.3529999256134033	84.99130249023438	
300196	长海股份	3.5373001098632812	3.144700050354004	73.30059814453125	
600076	康欣新材	2.508699893951416	0.887499988079071	19.218399047851562	
300286	安科瑞	3.2190001010894775	2.8310000896453857	112.19170379638672	
600529	山东药玻	2.988100051879883	2.4112000465393066	61.30419921875	
002034	旺能环境	2.9971001148223877	2.683799982070923	123.20439910888672	
002229	鸿博股份	2.825900077819824	2.4593000411987305	91.94110107421875	
300024	机器人	4.768899917602539	3.084700107574463	110.78289794921875	
000008	神州高铁	2.433000087738037	2.063499927520752	52.91889953613281	
300119	瑞普生物	2.361799955368042	1.8890999555587769	79.15579986572266	
002787	华源控股	2.8819000720977783	2.115799903869629	30.087499618530273	
000677	恒天海龙	2.02810001373291	1.5992000102996826	51.4015998840332	
002796	世嘉科技	3.2781999111175537	2.914299964904785	47.43050003051758	
000685	中山公用	0.7991999983787537	0.7422000169754028	24.94729995727539	
